,Title,Artist,URL
0,Nothing Else Matters,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-guitar-pro-225441
1,Stairway To Heaven,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/stairway-to-heaven-guitar-pro-223796
2,Sweet Child O Mine,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-guitar-pro-220689
3,Master Of Puppets,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/master-of-puppets-guitar-pro-464657
4,Back In Black,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/back-in-black-guitar-pro-403348
5,Wish You Were Here,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-guitar-pro-574167
6,Tears In Heaven,Eric Clapton,https://tabs.ultimate-guitar.com/tab/eric-clapton/tears-in-heaven-guitar-pro-216691
7,Comfortably Numb,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/comfortably-numb-guitar-pro-228391
8,Enter Sandman,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/enter-sandman-guitar-pro-243723
9,Fade To Black,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/fade-to-black-guitar-pro-243676
10,Smells Like Teen Spirit,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-guitar-pro-227063
11,One,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/one-guitar-pro-225457
12,Smoke On The Water,Deep Purple,https://tabs.ultimate-guitar.com/tab/deep-purple/smoke-on-the-water-guitar-pro-217612
13,Paranoid,Black Sabbath,https://tabs.ultimate-guitar.com/tab/black-sabbath/paranoid-guitar-pro-215155
14,Sweet Home Alabama,Lynyrd Skynyrd,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-guitar-pro-224323
15,Sultans Of Swing,Dire Straits,https://tabs.ultimate-guitar.com/tab/dire-straits/sultans-of-swing-guitar-pro-218132
16,Bohemian Rhapsody,Queen,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-guitar-pro-228902
17,Game Of Thrones Theme,Misc Television,https://tabs.ultimate-guitar.com/tab/misc-television/game-of-thrones-theme-guitar-pro-1160730
18,Highway To Hell,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/highway-to-hell-guitar-pro-528242
19,November Rain,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/november-rain-guitar-pro-220651
20,12 Killer Blues Licks,Lessons - Blues,https://tabs.ultimate-guitar.com/tab/lessons-blues/12-killer-blues-licks-guitar-pro-1243470
21,Californication,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/californication-guitar-pro-229736
22,Seek And Destroy,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/seek-and-destroy-guitar-pro-225493
23,Crazy Train,Ozzy Osbourne,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/crazy-train-guitar-pro-227626
24,Johnny B Goode,Chuck Berry,https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-guitar-pro-214911
25,Dust In The Wind,Kansas,https://tabs.ultimate-guitar.com/tab/kansas/dust-in-the-wind-guitar-pro-222851
26,Harry Potter - Hedwigs Theme,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/harry-potter-hedwigs-theme-guitar-pro-515057
27,Little Wing,Jimi Hendrix,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/little-wing-guitar-pro-237153
28,Iron Man,Black Sabbath,https://tabs.ultimate-guitar.com/tab/black-sabbath/iron-man-guitar-pro-273106
29,Hallelujah,Jeff Buckley,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-guitar-pro-2155367
30,Another Brick In The Wall Part 2,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/another-brick-in-the-wall-part-2-guitar-pro-228374
31,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-227425
32,Come As You Are,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/come-as-you-are-guitar-pro-226952
33,Still Got The Blues,Gary Moore,https://tabs.ultimate-guitar.com/tab/gary-moore/still-got-the-blues-guitar-pro-226030
