,Title,Artist,URL,Check
0,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-227425,False
1,Babe Im Gonna Leave You,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/babe-im-gonna-leave-you-guitar-pro-223705,False
2,Pride And Joy,Stevie Ray Vaughan & Double Trouble,https://tabs.ultimate-guitar.com/tab/stevie-ray-vaughan-double-trouble/pride-and-joy-guitar-pro-629691,False
3,I Cant Get No Satisfaction,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/i-cant-get-no-satisfaction-guitar-pro-359202,False
4,Someone Like You,Adele,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-guitar-pro-1062679,False
5,Money,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/money-guitar-pro-384577,False
6,Dont Look Back In Anger,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-guitar-pro-601420,False
7,Walk This Way,Aerosmith,https://tabs.ultimate-guitar.com/tab/aerosmith/walk-this-way-guitar-pro-394844,False
8,Purple Rain,Prince,https://tabs.ultimate-guitar.com/tab/prince/purple-rain-guitar-pro-420133,False
9,Good Riddance Time Of Your Life,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/good-riddance-time-of-your-life-guitar-pro-242716,False
10,Immigrant Song,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/immigrant-song-guitar-pro-223755,False
11,The Hell Song,Sum 41,https://tabs.ultimate-guitar.com/tab/sum-41/the-hell-song-guitar-pro-512216,False
12,Have You Ever Seen The Rain,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-guitar-pro-217164,False
13,Detroit Rock City,KISS,https://tabs.ultimate-guitar.com/tab/kiss/detroit-rock-city-guitar-pro-223141,False
14,This Is The Life,Amy Macdonald,https://tabs.ultimate-guitar.com/tab/amy-macdonald/this-is-the-life-guitar-pro-695904,False
15,In The End,Linkin Park,https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-guitar-pro-224045,False
16,Resistance,Muse,https://tabs.ultimate-guitar.com/tab/muse/resistance-guitar-pro-883398,False
17,The Pretender,Foo Fighters,https://tabs.ultimate-guitar.com/tab/foo-fighters/the-pretender-guitar-pro-761537,False
18,Snow Hey Oh,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/snow-hey-oh-guitar-pro-1104434,False
19,Help,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/help-guitar-pro-473169,False
20,Hit The Road Jack,Ray Charles,https://tabs.ultimate-guitar.com/tab/ray-charles/hit-the-road-jack-guitar-pro-711838,False
21,Texas Flood,Stevie Ray Vaughan & Double Trouble,https://tabs.ultimate-guitar.com/tab/stevie-ray-vaughan-double-trouble/texas-flood-guitar-pro-629689,False
22,Money,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/money-guitar-pro-228447,False
23,Free Fallin,Tom Petty,https://tabs.ultimate-guitar.com/tab/tom-petty/free-fallin-guitar-pro-228328,False
24,Bohemian Rhapsody,Queen,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-guitar-pro-513846,False
25,Dont Let Me Down,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/dont-let-me-down-guitar-pro-393429,False
26,Bad Moon Rising,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/bad-moon-rising-guitar-pro-217154,False
27,Star Wars - Cantina Band,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/star-wars-cantina-band-guitar-pro-234920,False
28,Cryin,Aerosmith,https://tabs.ultimate-guitar.com/tab/aerosmith/cryin-guitar-pro-248844,False
29,Stop This Train,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/stop-this-train-guitar-pro-727778,False
30,Feeling This,Blink-182,https://tabs.ultimate-guitar.com/tab/blink-182/feeling-this-guitar-pro-215419,False
31,Digimon Adventure - Butter-Fly,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/misc-cartoons/digimon-adventure-butter-fly-guitar-pro-764972,False
32,Sober,Tool,https://tabs.ultimate-guitar.com/tab/tool/sober-guitar-pro-233747,False
33,Wherever You Will Go,The Calling,https://tabs.ultimate-guitar.com/tab/the-calling/wherever-you-will-go-guitar-pro-460041,False
34,The Pink Panther Theme,Henry Mancini,https://tabs.ultimate-guitar.com/tab/henry-mancini/the-pink-panther-theme-guitar-pro-899172,False
35,Supermassive Black Hole,Muse,https://tabs.ultimate-guitar.com/tab/muse/supermassive-black-hole-guitar-pro-680001,False
36,Hey Ya,OutKast,https://tabs.ultimate-guitar.com/tab/outkast/hey-ya-guitar-pro-227761,False
37,She Will Be Loved,Maroon 5,https://tabs.ultimate-guitar.com/tab/maroon-5/she-will-be-loved-guitar-pro-224868,False
38,Just The Way You Are,Bruno Mars,https://tabs.ultimate-guitar.com/tab/bruno-mars/just-the-way-you-are-guitar-pro-1028566,False
39,Skinny Love,Bon Iver,https://tabs.ultimate-guitar.com/tab/bon-iver/skinny-love-guitar-pro-678456,False
40,Wont Get Fooled Again,The Who,https://tabs.ultimate-guitar.com/tab/the-who/wont-get-fooled-again-guitar-pro-393440,False
41,In Bloom,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/in-bloom-guitar-pro-226982,False
42,Dazed And Confused,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/dazed-and-confused-guitar-pro-223729,False
43,Carry On Wayward Son,Kansas,https://tabs.ultimate-guitar.com/tab/kansas/carry-on-wayward-son-guitar-pro-222850,False
44,Supermassive Black Hole,Muse,https://tabs.ultimate-guitar.com/tab/muse/supermassive-black-hole-guitar-pro-384799,False
45,Alone,Heart,https://tabs.ultimate-guitar.com/tab/heart/alone-guitar-pro-240739,False
46,The Power Of Love,Huey Lewis & The News,https://tabs.ultimate-guitar.com/tab/huey-lewis-the-news/the-power-of-love-guitar-pro-221417,False
47,Ill Be There For You,The Rembrandts,https://tabs.ultimate-guitar.com/tab/the-rembrandts/ill-be-there-for-you-guitar-pro-464058,False
48,Wet Sand,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/wet-sand-guitar-pro-530700,False
49,Beast Of Burden,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/beast-of-burden-guitar-pro-416378,False
50,Cum On Feel The Noize,Quiet Riot,https://tabs.ultimate-guitar.com/tab/quiet-riot/cum-on-feel-the-noize-guitar-pro-229112,False
51,Float On,Modest Mouse,https://tabs.ultimate-guitar.com/tab/modest-mouse/float-on-guitar-pro-225901,False
52,The Scientist,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-guitar-pro-216836,False
53,Piece Of My Heart,Big Brother & The Holding Company,https://tabs.ultimate-guitar.com/tab/big-brother-the-holding-company/piece-of-my-heart-guitar-pro-222647,False
54,Wherever You Will Go,The Calling,https://tabs.ultimate-guitar.com/tab/the-calling/wherever-you-will-go-guitar-pro-791310,False
55,I Walk The Line,Johnny Cash,https://tabs.ultimate-guitar.com/tab/johnny-cash/i-walk-the-line-guitar-pro-927091,False
56,All Signs Point To Lauderdale,A Day to Remember,https://tabs.ultimate-guitar.com/tab/a-day-to-remember/all-signs-point-to-lauderdale-guitar-pro-1006504,False
57,The Dark Eternal Night,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/the-dark-eternal-night-guitar-pro-543582,False
58,Rock Around The Clock,Bill Haley & His Comets,https://tabs.ultimate-guitar.com/tab/bill-haley-his-comets/rock-around-the-clock-guitar-pro-664564,False
59,Summer Of 69,Bryan Adams,https://tabs.ultimate-guitar.com/tab/bryan-adams/summer-of-69-guitar-pro-254217,False
60,Its So Easy,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/its-so-easy-guitar-pro-711308,False
61,Albachiara,Vasco Rossi,https://tabs.ultimate-guitar.com/tab/vasco-rossi/albachiara-guitar-pro-230268,False
62,Aint No Sunshine,Bill Withers,https://tabs.ultimate-guitar.com/tab/bill-withers/aint-no-sunshine-guitar-pro-672723,False
63,Blackest Eyes,Porcupine Tree,https://tabs.ultimate-guitar.com/tab/porcupine-tree/blackest-eyes-guitar-pro-558062,False
64,I Will Survive,Gloria Gaynor,https://tabs.ultimate-guitar.com/tab/gloria-gaynor/i-will-survive-guitar-pro-468648,False
65,Girlfriend,Avril Lavigne,https://tabs.ultimate-guitar.com/tab/avril-lavigne/girlfriend-guitar-pro-484243,False
66,Maria Maria,Santana,https://tabs.ultimate-guitar.com/tab/santana/maria-maria-guitar-pro-230536,False
67,Lookin Out My Back Door,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/lookin-out-my-back-door-guitar-pro-217171,False
68,In The Name Of God,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/in-the-name-of-god-guitar-pro-735652,False
69,I Dont Care,Fall Out Boy,https://tabs.ultimate-guitar.com/tab/fall-out-boy/i-dont-care-guitar-pro-812488,False
70,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-245915,False
71,Know Your Enemy,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/know-your-enemy-guitar-pro-814177,False
72,Mk Ultra,Muse,https://tabs.ultimate-guitar.com/tab/muse/mk-ultra-guitar-pro-873640,False
73,Surrender,Billy Talent,https://tabs.ultimate-guitar.com/tab/billy-talent/surrender-guitar-pro-647781,False
74,Stop Crying Your Heart Out,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/stop-crying-your-heart-out-guitar-pro-227406,False
75,Madness,Muse,https://tabs.ultimate-guitar.com/tab/muse/madness-guitar-pro-1178084,False
76,I Cant Dance,Genesis,https://tabs.ultimate-guitar.com/tab/genesis/i-cant-dance-guitar-pro-219884,False
77,In The Air Tonight,Phil Collins,https://tabs.ultimate-guitar.com/tab/phil-collins/in-the-air-tonight-guitar-pro-216874,False
78,My Love,Westlife,https://tabs.ultimate-guitar.com/tab/westlife/my-love-guitar-pro-632791,False
