,Title,Artist,URL,Check
0,Sweet Child O Mine,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-guitar-pro-220689,False
1,Stairway To Heaven,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/stairway-to-heaven-guitar-pro-223796,False
2,Dont Cry,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/dont-cry-guitar-pro-220589,False
3,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-227425,False
4,November Rain,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/november-rain-guitar-pro-220651,False
5,Little Wing,Jimi Hendrix,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/little-wing-guitar-pro-237153,False
6,Welcome To The Jungle,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/welcome-to-the-jungle-guitar-pro-220708,False
7,Wish You Were Here,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-guitar-pro-574167,False
8,Johnny B Goode,Chuck Berry,https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-guitar-pro-214911,False
9,Wish You Were Here,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-guitar-pro-228487,False
10,Sultans Of Swing,Dire Straits,https://tabs.ultimate-guitar.com/tab/dire-straits/sultans-of-swing-guitar-pro-218132,False
11,Another Brick In The Wall Part 2,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/another-brick-in-the-wall-part-2-guitar-pro-228374,False
12,Im Yours,Jason Mraz,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-guitar-pro-791134,False
13,Scar Tissue,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/scar-tissue-guitar-pro-229878,False
14,Dream On,Aerosmith,https://tabs.ultimate-guitar.com/tab/aerosmith/dream-on-guitar-pro-213511,False
15,Rolling In The Deep,Adele,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-guitar-pro-1040057,False
16,Paradise City,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/paradise-city-guitar-pro-220663,False
17,Creep,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/creep-guitar-pro-794158,False
18,Billie Jean,Michael Jackson,https://tabs.ultimate-guitar.com/tab/michael-jackson/billie-jean-guitar-pro-466289,False
19,Buried Alive,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/buried-alive-guitar-pro-969297,False
