,Title,Artist,URL,Check
0,Fade To Black,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/fade-to-black-guitar-pro-243676,False
1,Master Of Puppets,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/master-of-puppets-guitar-pro-464657,False
2,Back In Black,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/back-in-black-guitar-pro-403348,False
3,Sweet Home Alabama,Lynyrd Skynyrd,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-guitar-pro-224323,False
4,The Day That Never Comes,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-day-that-never-comes-guitar-pro-723163,False
5,Paranoid,Black Sabbath,https://tabs.ultimate-guitar.com/tab/black-sabbath/paranoid-guitar-pro-215155,False
6,Comfortably Numb,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/comfortably-numb-guitar-pro-228391,False
7,Highway To Hell,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/highway-to-hell-guitar-pro-528242,False
8,Californication,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/californication-guitar-pro-229736,False
9,Seek And Destroy,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/seek-and-destroy-guitar-pro-225493,False
10,Through The Fire And Flames,DragonForce,https://tabs.ultimate-guitar.com/tab/dragonforce/through-the-fire-and-flames-guitar-pro-347550,False
11,For Whom The Bell Tolls,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/for-whom-the-bell-tolls-guitar-pro-225371,False
12,Johnny B Goode,Chuck Berry,https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-guitar-pro-214911,False
13,Hysteria,Muse,https://tabs.ultimate-guitar.com/tab/muse/hysteria-guitar-pro-250625,False
14,Toxicity,System Of A Down,https://tabs.ultimate-guitar.com/tab/system-of-a-down/toxicity-guitar-pro-233109,False
15,Welcome Home Sanitarium,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/welcome-home-sanitarium-guitar-pro-225579,False
16,Wake Me Up When September Ends,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/wake-me-up-when-september-ends-guitar-pro-220480,False
17,Sultans Of Swing,Dire Straits,https://tabs.ultimate-guitar.com/tab/dire-straits/sultans-of-swing-guitar-pro-218132,False
18,Another Brick In The Wall Part 2,Pink Floyd,https://tabs.ultimate-guitar.com/tab/pink-floyd/another-brick-in-the-wall-part-2-guitar-pro-228374,False
19,Cliffs Of Dover,Eric Johnson,https://tabs.ultimate-guitar.com/tab/eric-johnson/cliffs-of-dover-guitar-pro-528297,False
20,Hey Joe,Jimi Hendrix,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/hey-joe-guitar-pro-221160,False
21,Master Of Puppets,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/master-of-puppets-guitar-pro-243779,False
22,Im Yours,Jason Mraz,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-guitar-pro-791134,False
23,Cant Stop,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/cant-stop-guitar-pro-229745,False
24,Scar Tissue,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/scar-tissue-guitar-pro-229878,False
25,Pirates Of The Caribbean - Hes A Pirate,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/pirates-of-the-caribbean-hes-a-pirate-guitar-pro-517695,False
