,Title,Artist,URL,Check
0,Bohemian Rhapsody,Queen,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-guitar-pro-228902,False
1,Rolling In The Deep,Adele,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-guitar-pro-1040057,False
2,Eye Of The Tiger,Survivor,https://tabs.ultimate-guitar.com/tab/survivor/eye-of-the-tiger-guitar-pro-414775,False
3,Losing My Religion,R.E.M.,https://tabs.ultimate-guitar.com/tab/r-e-m-/losing-my-religion-guitar-pro-229140,False
4,Youre Beautiful,James Blunt,https://tabs.ultimate-guitar.com/tab/james-blunt/youre-beautiful-guitar-pro-261752,False
5,Every Breath You Take,The Police,https://tabs.ultimate-guitar.com/tab/the-police/every-breath-you-take-guitar-pro-911510,False
6,In The End,Linkin Park,https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-guitar-pro-224045,False
7,Estranged,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/estranged-guitar-pro-220601,False
8,Una Mattina,Ludovico Einaudi,https://tabs.ultimate-guitar.com/tab/ludovico-einaudi/una-mattina-guitar-pro-1187701,False
9,Bed Of Roses,Bon Jovi,https://tabs.ultimate-guitar.com/tab/bon-jovi/bed-of-roses-guitar-pro-376219,False
10,Fix You,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/fix-you-guitar-pro-399086,False
11,Feeling Good,Muse,https://tabs.ultimate-guitar.com/tab/muse/feeling-good-guitar-pro-513750,False
12,Lose Yourself,Eminem,https://tabs.ultimate-guitar.com/tab/eminem/lose-yourself-guitar-pro-218843,False
13,No More Tears,Ozzy Osbourne,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/no-more-tears-guitar-pro-227678,False
14,Nemo,Nightwish,https://tabs.ultimate-guitar.com/tab/nightwish/nemo-guitar-pro-248701,False
15,Dont Stop Me Now,Queen,https://tabs.ultimate-guitar.com/tab/queen/dont-stop-me-now-guitar-pro-228918,False
16,Corazon Espinado,Santana,https://tabs.ultimate-guitar.com/tab/santana/corazon-espinado-guitar-pro-384190,False
17,Sea Of Lies,Symphony X,https://tabs.ultimate-guitar.com/tab/symphony-x/sea-of-lies-guitar-pro-232975,False
18,Jessica,The Allman Brothers Band,https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/jessica-guitar-pro-360861,False
19,A Nightmare To Remember,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/a-nightmare-to-remember-guitar-pro-869693,False
20,New Born,Muse,https://tabs.ultimate-guitar.com/tab/muse/new-born-guitar-pro-226453,False
21,Scream,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/scream-guitar-pro-828642,False
22,River Flows In You,Yiruma,https://tabs.ultimate-guitar.com/tab/yiruma/river-flows-in-you-guitar-pro-759179,False
23,Titanic Theme,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/titanic-theme-guitar-pro-884391,False
24,American Pie,Don McLean,https://tabs.ultimate-guitar.com/tab/don-mclean/american-pie-guitar-pro-225027,False
25,Schools Out,Alice Cooper,https://tabs.ultimate-guitar.com/tab/alice-cooper/schools-out-guitar-pro-682181,False
26,Under Pressure,Queen,https://tabs.ultimate-guitar.com/tab/queen/under-pressure-guitar-pro-229015,False
27,Pokemon Theme,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/misc-cartoons/pokemon-theme-guitar-pro-523796,False
28,Im Not Okay I Promise,My Chemical Romance,https://tabs.ultimate-guitar.com/tab/my-chemical-romance/im-not-okay-i-promise-guitar-pro-226580,False
29,Layla,Derek and the Dominos,https://tabs.ultimate-guitar.com/tab/derek-and-the-dominos/layla-guitar-pro-853061,False
30,Aqualung,Jethro Tull,https://tabs.ultimate-guitar.com/tab/jethro-tull/aqualung-guitar-pro-222464,False
31,A Day In The Life,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-guitar-pro-395582,False
32,Paradise,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/paradise-guitar-pro-1114321,False
33,Just The Way You Are,Bruno Mars,https://tabs.ultimate-guitar.com/tab/bruno-mars/just-the-way-you-are-guitar-pro-1028566,False
34,Eye Of The Tiger,Survivor,https://tabs.ultimate-guitar.com/tab/survivor/eye-of-the-tiger-guitar-pro-232912,False
35,Fall For You,Secondhand Serenade,https://tabs.ultimate-guitar.com/tab/secondhand-serenade/fall-for-you-guitar-pro-708990,False
36,I Wont See You Tonight Part 1,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/i-wont-see-you-tonight-part-1-guitar-pro-395292,False
37,Clint Eastwood,Gorillaz,https://tabs.ultimate-guitar.com/tab/gorillaz/clint-eastwood-guitar-pro-220302,False
38,Angels,Robbie Williams,https://tabs.ultimate-guitar.com/tab/robbie-williams/angels-guitar-pro-234943,False
39,Listen To Your Heart,Roxette,https://tabs.ultimate-guitar.com/tab/roxette/listen-to-your-heart-guitar-pro-230289,False
40,Dont Look Back In Anger,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-guitar-pro-265645,False
41,Go With The Flow,Queens of the Stone Age,https://tabs.ultimate-guitar.com/tab/queens-of-the-stone-age/go-with-the-flow-guitar-pro-229084,False
42,Sometimes I Feel Like Screaming,Deep Purple,https://tabs.ultimate-guitar.com/tab/deep-purple/sometimes-i-feel-like-screaming-guitar-pro-217620,False
43,Scream,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/scream-guitar-pro-596707,False
44,I Want You Back,The Jackson 5,https://tabs.ultimate-guitar.com/tab/the-jackson-5/i-want-you-back-guitar-pro-554447,False
45,Faithfully,Journey,https://tabs.ultimate-guitar.com/tab/journey/faithfully-guitar-pro-222669,False
46,Kings And Queens,Thirty Seconds To Mars,https://tabs.ultimate-guitar.com/tab/thirty-seconds-to-mars/kings-and-queens-guitar-pro-890287,False
47,The Scientist,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-guitar-pro-216837,False
48,American Idiot Part 1,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/american-idiot-part-1-guitar-pro-730612,False
49,Falling Slowly,Glen Hansard,https://tabs.ultimate-guitar.com/tab/glen-hansard/falling-slowly-guitar-pro-633926,False
50,Sugar Were Going Down,Fall Out Boy,https://tabs.ultimate-guitar.com/tab/fall-out-boy/sugar-were-going-down-guitar-pro-267773,False
51,Burden,Opeth,https://tabs.ultimate-guitar.com/tab/opeth/burden-guitar-pro-805671,False
52,Live And Let Die,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/live-and-let-die-guitar-pro-220626,False
53,Bliss,Muse,https://tabs.ultimate-guitar.com/tab/muse/bliss-guitar-pro-499888,False
54,Drops Of Jupiter,Train,https://tabs.ultimate-guitar.com/tab/train/drops-of-jupiter-guitar-pro-233809,False
55,Baba Oriley,The Who,https://tabs.ultimate-guitar.com/tab/the-who/baba-oriley-guitar-pro-595431,False
56,Let It Be,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-guitar-pro-794153,False
57,Resistance,Muse,https://tabs.ultimate-guitar.com/tab/muse/resistance-guitar-pro-871885,False
58,New Born,Muse,https://tabs.ultimate-guitar.com/tab/muse/new-born-guitar-pro-499887,False
59,Crazy,Aerosmith,https://tabs.ultimate-guitar.com/tab/aerosmith/crazy-guitar-pro-213506,False
60,Ave Maria,Franz Schubert,https://tabs.ultimate-guitar.com/tab/franz-schubert/ave-maria-guitar-pro-336325,False
61,Aint No Sunshine,Bill Withers,https://tabs.ultimate-guitar.com/tab/bill-withers/aint-no-sunshine-guitar-pro-372994,False
62,Hallelujah,Leonard Cohen,https://tabs.ultimate-guitar.com/tab/leonard-cohen/hallelujah-guitar-pro-892017,False
63,Danger Wildman,The Devil Wears Prada,https://tabs.ultimate-guitar.com/tab/the-devil-wears-prada/danger-wildman-guitar-pro-858295,False
64,Everything,Michael Bublé,https://tabs.ultimate-guitar.com/tab/576413,False
65,Like A Rolling Stone,Bob Dylan,https://tabs.ultimate-guitar.com/tab/bob-dylan/like-a-rolling-stone-guitar-pro-218709,False
66,Corazon Espinado,Santana,https://tabs.ultimate-guitar.com/tab/santana/corazon-espinado-guitar-pro-756720,False
67,The Unforgiven Iii,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-iii-guitar-pro-754341,False
68,Dancing Queen,ABBA,https://tabs.ultimate-guitar.com/tab/abba/dancing-queen-guitar-pro-683873,False
69,The Unforgiven Iii,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-iii-guitar-pro-728942,False
70,Second Chance,Shinedown,https://tabs.ultimate-guitar.com/tab/shinedown/second-chance-guitar-pro-815238,False
71,Hero,Enrique Iglesias,https://tabs.ultimate-guitar.com/tab/enrique-iglesias/hero-guitar-pro-655102,False
72,From Yesterday,Thirty Seconds To Mars,https://tabs.ultimate-guitar.com/tab/thirty-seconds-to-mars/from-yesterday-guitar-pro-466924,False
73,Mamma Mia,ABBA,https://tabs.ultimate-guitar.com/tab/abba/mamma-mia-guitar-pro-237495,False
74,When You Were Young,The Killers,https://tabs.ultimate-guitar.com/tab/the-killers/when-you-were-young-guitar-pro-433752,False
75,21 Guns,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/21-guns-guitar-pro-830921,False
76,9 Crimes,Damien Rice,https://tabs.ultimate-guitar.com/tab/damien-rice/9-crimes-guitar-pro-447587,False
77,The Ministry Of Lost Souls,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/the-ministry-of-lost-souls-guitar-pro-617997,False
78,Just Like Heaven,The Cure,https://tabs.ultimate-guitar.com/tab/the-cure/just-like-heaven-guitar-pro-475532,False
79,Forsaken,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/forsaken-guitar-pro-530945,False
80,Citizen Erased,Muse,https://tabs.ultimate-guitar.com/tab/muse/citizen-erased-guitar-pro-499895,False
81,Time Is Running Out,Muse,https://tabs.ultimate-guitar.com/tab/muse/time-is-running-out-guitar-pro-226501,False
82,Always,Bon Jovi,https://tabs.ultimate-guitar.com/tab/bon-jovi/always-guitar-pro-903340,False
83,Fix You,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/fix-you-guitar-pro-265768,False
84,Nobodys Home,Avril Lavigne,https://tabs.ultimate-guitar.com/tab/avril-lavigne/nobodys-home-guitar-pro-223686,False
85,Kiss From A Rose,Seal,https://tabs.ultimate-guitar.com/tab/seal/kiss-from-a-rose-guitar-pro-726983,False
